domain,name,phone,address,logo_url,location,color,cf_project,logo_present
burntwood.steelok-locksmiths.co.uk,Steelok Locksmiths Burntwood,01543 546027,,Steelok_Locksmiths_Burntwood_Logo.png,Burntwood,Blue Green White Logo,burntwood---steelok-locksmiths,False
burtonupontrent.steelok-locksmiths.co.uk,Steelok Locksmiths Burton upon Trent,01283 315046,,Steelok_Locksmiths_Burton_upon_Trent_Logo.png,Burton upon Trent,Black White Gold Logo,burtonupontrent---steelok-locksmiths,True
cheltenham.steelok-locksmiths.co.uk,Steelok Locksmiths Cheltenham,01242 341064,,Steelok_Locksmiths_Cheltenham_Logo.png,Cheltenham,Black Gold Logo,cheltenham---steelok-locksmiths,True
greatmalvern.steelok-locksmiths.co.uk,Steelok Locksmiths Great Malvern,01684 624008,,Steelok_Locksmiths_Great_Malvern_Logo.png,Great Malvern,Blue Yellow White Logo,greatmalvern---steelok-locksmiths,False
horwich.steelok-locksmiths.co.uk,Steelok Locksmiths Horwich,01204 265089,,Steelok_Locksmiths_Horwich_Logo.png,Horwich,Yellow Black Logo,horwich---steelok-locksmiths,False
caterham.surelok-locksmiths.co.uk,Surelok Locksmiths Caterham,01883 677031,,Surelok_Locksmiths_Caterham_Logo.png,Caterham,Yellow Black Logo,caterham---surelok-locksmiths,False
eastgrinstead.surelok-locksmiths.co.uk,Surelok Locksmiths East Grinstead,01332 485103,,Surelok_Locksmiths_East_Grinstead_Logo.png,East Grinstead,Red White Blue Logo,eastgrinstead---surelok-locksmiths,False
hemelhempstead.surelok-locksmiths.co.uk,Surelok Locksmiths Hemel hempstead,01442 935084,,Surelok_Locksmiths_Hemel_hempstead_Logo.png,Hemel Hempstead,Black White Gold Logo,hemelhempstead---surelok-locksmiths,True
kingslynn.surelok-locksmiths.co.uk,Surelok Locksmiths Kings Lynn,01553 353023,,Surelok_Locksmiths_Kings_Lynn.png,King's Lynn,Red Yellow Logo,kingslynn---surelok-locksmiths,False
loughborough.surelok-locksmiths.co.uk,Surelok Locksmiths Loughborough,01509 361011,,Surelok_Locksmiths_Loughborough_Logo.png,Loughborough,Metal White Orange Logo,loughborough---surelok-locksmiths,True
radcliffe.surelok-locksmiths.co.uk,Surelok Locksmiths Radcliffe,0161 985 0038,,Surelok_Locksmiths_Radcliffe_Logo.png,Radcliffe,Blue Green White Logo,radcliffe---surelok-locksmiths,False
stoke-on-trent.surelok-locksmiths.co.uk,Surelok Locksmiths Stoke-on-Trent,01782 906128,,Surelok_Locksmiths_Stoke-on-Trent_Logo.png,Stoke-on-Trent,Black Gold Logo,stoke-on-trent---surelok-locksmiths,True
thundersley.surelok-locksmiths.co.uk,Surelok Locksmiths Thundersley,01268 951102,,Surelok_Locksmiths_Thundersley_Logo.png,Thundersley,Giant Key Silver Gold Logo,thundersley---surelok-locksmiths,False
westbridgford.surelok-locksmiths.co.uk,Surelok Locksmiths West Bridgford,0115 735 1302,,Surelok_Locksmiths_West_Bridgford_Logo.png,West Bridgford,Blue Yellow White Logo,westbridgford---surelok-locksmiths,False
abingdon-on-thames.suresec-locksmiths.co.uk,Suresec Locksmiths Abingdon-on-Thames,01235 372119,,Suresec_Locksmiths_Abingdon-on-Thames_Logo.png,Abingdon-on-Thames,Blue Yellow White Logo,abingdon-on-thames---suresec-locksmiths,False
aldershot.suresec-locksmiths.co.uk,Suresec Locksmiths Aldershot,01252 493214,,Suresec_Locksmiths_Aldershot.png,Aldershot,Red Yellow Logo,aldershot---suresec-locksmiths,False
chesham.suresec-locksmiths.co.uk,Suresec Locksmiths Chesham,01494 641128,,Suresec_Locksmiths_Chesham_Logo.png,Chesham,Red White Blue Logo,chesham---suresec-locksmiths,False
daventry.suresec-locksmiths.co.uk,Suresec Locksmiths Daventry,01327 584016,,Suresec_Locksmiths_Daventry_Logo.png,Daventry,Blue Green White Logo,daventry---suresec-locksmiths,False
gateshead.suresec-locksmiths.co.uk,Suresec Locksmiths Gateshead,0191 681 0408,,Suresec_Locksmiths_Gateshead_Logo.png,Gateshead,Black Gold Logo,gateshead---suresec-locksmiths,True
skegness.suresec-locksmiths.co.uk,Suresec Locksmiths Skegness,01754 458006,,Suresec_Locksmiths_Skegness_Logo.png,Skegness,Yellow Black Logo,skegness---suresec-locksmiths,False
tamworth.suresec-locksmiths.co.uk,Suresec Locksmiths Tamworth,01827 751009,,Suresec_Locksmiths_Tamworth_Logo.png,Tamworth,Black White Gold Logo,tamworth---suresec-locksmiths,True
welwyngardencity.suresec-locksmiths.co.uk,Suresec Locksmiths Welwyn Garden City,01707 568057,,Suresec_Locksmiths_Welwyn_Garden_City_Logo.png,Welwyn Garden City,Metal White Orange Logo,welwyngardencity---suresec-locksmiths,True
atherton.toplock-locksmiths.co.uk,Toplok Locksmiths Atherton,01942 461061,,Toplok_Locksmiths_Atherton_Logo.png,Atherton,Red White Blue Logo,atherton---toplock-locksmiths,False
blyth.toplock-locksmiths.co.uk,Toplok Locksmiths Blyth,01670 612015,,Toplok_Locksmiths_Blyth_Logo.png,Blyth,Blue Yellow White Logo,blyth---toplock-locksmiths,False
caversham.toplock-locksmiths.co.uk,Toplok Locksmiths Caversham,0118 409 1233,,Toplok_Locksmiths_Caversham_Logo.png,Caversham,Blue Green White Logo,caversham---toplock-locksmiths,False
farnham.toplock-locksmiths.co.uk,Toplok Locksmiths Farnham,01252 493218,,Toplok_Locksmiths_Farnham_Logo.png,Farnham,Giant Key Silver Gold Logo,farnham---toplock-locksmiths,False
leamingtonspa.toplock-locksmiths.co.uk,Toplok Locksmiths Leamington Spa,01926 269001,,Toplok_Locksmiths_Leamington_Spa.png,Royal Leamington Spa,Red Yellow Logo,leamingtonspa---toplock-locksmiths,False
rochdale.toplock-locksmiths.co.uk,Toplok Locksmiths Rochdale,01706 491011,,Toplok_Locksmiths_Rochdale_Logo.png,Rochdale,Black White Gold Logo,rochdale---toplock-locksmiths,True
shoreham-by-sea.toplock-locksmiths.co.uk,Toplok Locksmiths Shoreham-by-Sea,01273 951244,,Toplok_Locksmiths_Shoreham-by-Sea_Logo.png,Shoreham-by-Sea,Yellow Black Logo,shoreham-by-sea---toplock-locksmiths,False
stalbans.toplock-locksmiths.co.uk,Toplok Locksmiths St Albans,01727 583045,,Toplok_Locksmiths_St_Albans_Logo.png,St Albans,Metal White Orange Logo,stalbans---toplock-locksmiths,True
borehamwood.trulock-locksmiths.co.uk,Trulock Locksmiths Borehamwood,020 3670 8524,,Trulock_Locksmiths_Borehamwood.png,Borehamwood,Red Yellow Logo,borehamwood---trulock-locksmiths,False
brighouse.trulock-locksmiths.co.uk,Trulock Locksmiths Brighouse,01484 945033,,Trulock_Locksmiths_Brighouse_Logo.png,Brighouse,Blue Yellow White Logo,brighouse---trulock-locksmiths,False
ormskirk.trulock-locksmiths.co.uk,Trulock Locksmiths Ormskirk,01695 366011,,Trulock_Locksmiths_Ormskirk_Logo.png,Ormskirk,Blue Green White Logo,ormskirk---trulock-locksmiths,False
rawtenstall.trulock-locksmiths.co.uk,Trulock Locksmiths Rawtenstall,01706 491023,,Trulock_Locksmiths_Rawtenstall_Logo.png,Rawtenstall,Red White Blue Logo,rawtenstall---trulock-locksmiths,False
strattonstmargaret.trulock-locksmiths.co.uk,Trulock Locksmiths Stratton St Margaret,01793 629034,,Trulock_Locksmiths_Stratton_St_Margaret_Logo.png,Stratton St Margaret,Yellow Black Logo,strattonstmargaret---trulock-locksmiths,False
washington.trulock-locksmiths.co.uk,Trulock Locksmiths Washington,0191 681 0423,,Trulock_Locksmiths_Washington_Logo.png,Washington,Metal White Orange Logo,washington---trulock-locksmiths,True
woking.trulock-locksmiths.co.uk,Trulock Locksmiths Woking,01483 377197,,Trulock_Locksmiths_Woking_Logo.png,Woking,Black White Gold Logo,woking---trulock-locksmiths,True
worthing.trulock-locksmiths.co.uk,Trulock Locksmiths Worthing,01903 377072,,Trulock_Locksmiths_Worthing_Logo.png,Worthing,Black Gold Logo,worthing---trulock-locksmiths,True
bridlington.boltfix-locksmiths.co.uk,Boltfix Locksmiths Bridlington,01262 331015,,Boltfix_Locksmiths_Bridlington_Logo.png,Bridlington,Blue Yellow White Logo,bridlington---boltfix-locksmiths,False
coseley.boltfix-locksmiths.co.uk,Boltfix Locksmiths Coseley,0121 400 0438,,Boltfix_Locksmiths_Coseley_Logo.png,Coseley,Red White Blue Logo,coseley---boltfix-locksmiths,False
darlaston.boltfix-locksmiths.co.uk,Boltfix Locksmiths Darlaston,0121 400 0439,,Boltfix_Locksmiths_Darlaston_Logo.png,Darlaston,Yellow Black Logo,darlaston---boltfix-locksmiths,False
doncaster.boltfix-locksmiths.co.uk,Boltfix Locksmiths Doncaster,01302 353064,,Boltfix_Locksmiths_Doncaster_Logo.png,Doncaster,Black White Gold Logo,doncaster---boltfix-locksmiths,True
grays.boltfix-locksmiths.co.uk,Boltfix Locksmiths Grays,01375 279053,,Boltfix_Locksmiths_Grays.png,Grays,Red Yellow Logo,grays---boltfix-locksmiths,False
jarrow.boltfix-locksmiths.co.uk,Boltfix Locksmiths Jarrow,0191 681 0428,,Boltfix_Locksmiths_Jarrow_Logo.png,Jarrow,Blue Green White Logo,jarrow---boltfix-locksmiths,False
oxford.boltfix-locksmiths.co.uk,Boltfix Locksmiths Oxford,01865 685117,,Boltfix_Locksmiths_Oxford_Logo.png,Oxford,Black Gold Logo,oxford---boltfix-locksmiths,True
scarborough.boltfix-locksmiths.co.uk,Boltfix Locksmiths Scarborough,01723 651024,,Boltfix_Locksmiths_Scarborough_Logo.png,Scarborough,Metal White Orange Logo,scarborough---boltfix-locksmiths,True
bexhill-on-sea.boltlok-locksmiths.co.uk,Boltlok Locksmiths Bexhill-on-Sea,01424 571055,,Boltlok_Locksmiths_Bexhill-on-Sea.png,Bexhill-on-Sea,Red Yellow Logo,bexhill-on-sea---boltlok-locksmiths,False
bradleystoke.boltlok-locksmiths.co.uk,Boltlok Locksmiths Bradley Stoke,01454 539005,,Boltlok_Locksmiths_Bradley_Stoke_Logo.png,Bradley Stoke,Red White Blue Logo,bradleystoke---boltlok-locksmiths,False
gravesend.boltlok-locksmiths.co.uk,Boltlok Locksmiths Gravesend,01474 621084,,Boltlok_Locksmiths_Gravesend_Logo.png,Gravesend,Metal White Orange Logo,gravesend---boltlok-locksmiths,True
grimsby.boltlok-locksmiths.co.uk,Boltlok Locksmiths Grimsby,01472 434052,,Boltlok_Locksmiths_Grimsby_Logo.png,Grimsby,Black White Gold Logo,grimsby---boltlok-locksmiths,True
shipley.boltlok-locksmiths.co.uk,Boltlok Locksmiths Shipley,01274 950076,,Boltlok_Locksmiths_Shipley_Logo.png,Shipley,Blue Green White Logo,shipley---boltlok-locksmiths,False
stowmarket.boltlok-locksmiths.co.uk,Boltlok Locksmiths Stowmarket,01449 507007,,Boltlok_Locksmiths_Stowmarket_Logo.png,Stowmarket,Yellow Black Logo,stowmarket---boltlok-locksmiths,False
sunderland.boltlok-locksmiths.co.uk,Boltlok Locksmiths Sunderland,0191 681 0407,,Boltlok_Locksmiths_Sunderland_Logo.png,Sunderland,Black Gold Logo,sunderland---boltlok-locksmiths,True
aylesbury.boltman-locksmiths.co.uk,Boltman Locksmiths Aylesbury,01296 857046,,Boltman_Locksmiths_Aylesbury_Logo.png,Aylesbury,Black White Gold Logo,aylesbury---boltman-locksmiths,True
batley.boltman-locksmiths.co.uk,Boltman Locksmiths Batley,01924 658039,,Boltman_Locksmiths_Batley.png,Batley,Red Yellow Logo,batley---boltman-locksmiths,False
huyton-with-roby.boltman-locksmiths.co.uk,Boltman Locksmiths Huyton-with-Roby,0151 701 1006,,Boltman_Locksmiths_Huyton-with-Roby_Logo.png,Huyton with Roby,Metal White Orange Logo,huyton-with-roby---boltman-locksmiths,True
newport.boltman-locksmiths.co.uk,Boltman Locksmiths Newport,01983 621009,,Boltman_Locksmiths_Newport_Logo.png,Newport,Red White Blue Logo,newport---boltman-locksmiths,False
pudsey.boltman-locksmiths.co.uk,Boltman Locksmiths Pudsey,0113 892 1499,,Boltman_Locksmiths_Pudsey_Logo.png,Pudsey,Blue Yellow White Logo,pudsey---boltman-locksmiths,False
seaham.boltman-locksmiths.co.uk,Boltman Locksmiths Seaham,0191 681 0435,,Boltman_Locksmiths_Seaham_Logo.png,Seaham,Yellow Black Logo,seaham---boltman-locksmiths,False
stanford-le-hope.boltman-locksmiths.co.uk,Boltman Locksmiths Stanford-le-Hope,01375 279054,,Boltman_Locksmiths_Stanford-le-Hope_Logo.png,Stanford-le-Hope,Blue Green White Logo,stanford-le-hope---boltman-locksmiths,False
warrington.boltman-locksmiths.co.uk,Boltman Locksmiths Warrington,01925 507038,,Boltman_Locksmiths_Warrington_Logo.png,Warrington,Black Gold Logo,warrington---boltman-locksmiths,True
bebington.boltpro-locksmiths.co.uk,Boltpro Locksmiths Bebington,0151 701 1007,,Boltpro_Locksmiths_Bebington_Logo.png,Bebington,Metal White Orange Logo,bebington---boltpro-locksmiths,True
bromsgrove.boltpro-locksmiths.co.uk,Boltpro Locksmiths Bromsgrove,01527 312013,,Boltpro_Locksmiths_Bromsgrove_Logo.png,Bromsgrove,Blue Yellow White Logo,bromsgrove---boltpro-locksmiths,False
hernebay.boltpro-locksmiths.co.uk,Boltpro Locksmiths Herne Bay,01227 689272,,Boltpro_Locksmiths_Herne_Bay_Logo.png,Herne Bay,Red White Blue Logo,hernebay---boltpro-locksmiths,False
heswall.boltpro-locksmiths.co.uk,Boltpro Locksmiths Heswall,0151 701 1014,,Boltpro_Locksmiths_Heswall_Logo.png,Heswall,Blue Green White Logo,heswall---boltpro-locksmiths,False
slough.boltpro-locksmiths.co.uk,Boltpro Locksmiths Slough,01753 320109,,Boltpro_Locksmiths_Slough_Logo.png,Slough,Black Gold Logo,slough---boltpro-locksmiths,True
sunbury-on-thames.boltpro-locksmiths.co.uk,Boltpro Locksmiths Sunbury-on-Thames,01932 955159,,Boltpro_Locksmiths_Sunbury-on-Thames_Logo.png,Sunbury-on-Thames,Yellow Black Logo,sunbury-on-thames---boltpro-locksmiths,False
trowbridge.boltpro-locksmiths.co.uk,Boltpro Locksmiths Trowbridge,01225 946788,,Boltpro_Locksmiths_Trowbridge.png,Trowbridge,Red Yellow Logo,trowbridge---boltpro-locksmiths,False
wallasey.boltpro-locksmiths.co.uk,Boltpro Locksmiths Wallasey,0151 701 1003,,Boltpro_Locksmiths_Wallasey_Logo.png,Wallasey,Black White Gold Logo,wallasey---boltpro-locksmiths,True
